strain	host	type	country	date
FCoV1_UU23_Netherlands_2007_GU553362	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU22_Netherlands_2007_GU553361	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU17_Netherlands_2007_HQ012367	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU24_Netherlands_2008_HQ012370	Domestic_cat	not_GSC	Netherlands	2008
FCoV1_felix_Germany_2012_MG893511	Domestic_cat	not_GSC	Germany	2012
FCoV1_UU2_USA_1993_FJ938060	Domestic_cat	not_GSC	USA	1993
FCoV1_UU5_Netherlands_2007_FJ938056	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU20_Netherlands_2007_HQ392471	Domestic_cat	not_GSC	Netherlands	2007
FCoV2_NTU156_Taiwan_2007_GQ152141	Domestic_cat	not_GSC	Taiwan	2007
FCoV1_UU15_Netherlands_2007_FJ938057	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_13HRBef_China_2016_KY566211	Domestic_cat	not_GSC	China	2016
FCoV1_11HRBef_China_2016_KY566210	Domestic_cat	not_GSC	China	2016
FCoV1_HLJ_HRB_China_2016_KY566209	Domestic_cat	not_GSC	China	2016
FCoV1_UU7_Netherlands_2007_FJ938053	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU4_Netherlands_2007_FJ938054	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_RM_USA_2002_FJ938051	Domestic_cat	not_GSC	USA	2002
FCoV1_FPV4_2017_Australia_ON595856	Domestic_cat	not_GSC	Australia	2017
FCoV1_FPV5_2017_Australia_ON595857	Domestic_cat	not_GSC	Australia	2017
FCoV1_FPV6_2017_Australia_ON595858	Domestic_cat	not_GSC	Australia	2017
FCoV1_HC5_2018_Australia_ON595866	Domestic_cat	not_GSC	Australia	2018
FCoV1_HC7_2018_Australia_ON595868	Domestic_cat	not_GSC	Australia	2018
FCoV1_HC6_2018_Australia_ON595867	Domestic_cat	not_GSC	Australia	2018
FCoV1_FPV1_2017_Australia_ON595853	Domestic_cat	not_GSC	Australia	2017
FCoV1_HC2_2018_Australia_ON595863	Domestic_cat	not_GSC	Australia	2018
FCoV1_HC1_2018_Australia_ON595871	Domestic_cat	not_GSC	Australia	2018
FCoV1_HC8_2018_Australia_ON595869	Domestic_cat	not_GSC	Australia	2018
FCoV1_FPV2_Australia_2017_ON595854	Domestic_cat	not_GSC	Australia	2017
FCoV1_FM3_USA_2020_sand_cat_OP542206	Sand_cat	not_GSC	USA	2020
FCoV1_SB22_Brazil_2016_MH817484	Domestic_cat	not_GSC	Brazil	2016
FCoV23_C8_Wi_8299_2023_Cyprus_PQ133181	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_H8_So_8842_2023_Cyprus_PQ133194	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_F9_Fe_9265_2023_Cyprus_PQ133190	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_D9_Ni_9183_2023_Cyprus_PQ133185	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_E9_Mi_9160_2023_Cyprus_PQ133188	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_F12_BW_11350_2023_Cyprus_PQ133177	Domestic_cat	not_GSC	Cyprus	2023
FCoV23_A9_Do_9045_2023_Cyprus_PQ133179	Domestic_cat	not_GSC	Cyprus	2023
FCoV1_2069_M1H_DC_BUC_COL	Domestic_cat	GSC	Colombia	2017
FCoV2_WSU_79_1683_USA_1979_JN634064	Domestic_cat	not_GSC	USA	1979
FCoV1_26M_United_Kingdom_2013_KP143512	Domestic_cat	not_GSC	United Kingdom	2013
FCoV1_27C_United_Kingdom_2013_KP143507	Domestic_cat	not_GSC	United Kingdom	2013
FCoV1_80F_United_Kingdom_2013_KP143511	Domestic_cat	not_GSC	United Kingdom	2013
FCoV1_67F_United_Kingdom_2013_KP143510	Domestic_cat	not_GSC	United Kingdom	2013
FCoV1_65F_United_Kingdom_2013_KP143509	Domestic_cat	not_GSC	United Kingdom	2013
FCoV1_C1Je_United_Kingdom_2002_DQ848678	Domestic_cat	not_GSC	United Kingdom	2013
